,1,32,19,183,(0 0),(5 0),(-1 -1),(0 2),(1 2),(1 3),(0 14),(3 7),(3 8),(2 10),(5 6),(1 7),(0 17),(0 8),(1 10),0.254
,0,63,20,146,(1 0),(0 0),(0 10),(5 2),(3 9),(1 2),(0 6),(0 9),(4 10),(0 14),(5 7),(4 12),(0 18),(5 14),(4 14),0.286
,1,33,19,185,(0 0),(5 0),(0 3),(4 2),(0 2),(-1 -1),(0 16),(1 11),(3 9),(1 12),(5 6),(1 9),(0 7),(5 8),(0 10),0.404
,0,63,20,146,(0 0),(4 0),(0 14),(5 2),(3 9),(0 2),(0 6),(0 9),(4 10),(0 10),(5 7),(4 12),(0 18),(5 14),(4 14),0.344
,1,33,19,185,(1 0),(0 0),(-1 -1),(1 2),(2 2),(2 3),(0 16),(0 11),(2 9),(0 12),(0 6),(0 9),(0 7),(5 8),(4 10),0.312
,1,34,18,186,(0 0),(4 0),(0 14),(5 2),(3 7),(0 2),(-1 -1),(2 6),(4 14),(2 10),(2 7),(0 6),(1 8),(0 8),(1 10),0.267
,0,68,20,156,(0 0),(4 0),(0 9),(5 2),(0 13),(0 2),(0 6),(3 13),(4 9),(0 14),(5 7),(4 11),(0 18),(5 14),(4 14),0.34
,1,31,19,181,(1 0),(0 0),(-1 -1),(5 2),(1 2),(1 3),(0 16),(2 7),(2 8),(1 10),(0 6),(0 7),(0 14),(5 8),(0 10),0.264
,1,31,19,181,(0 0),(4 0),(0 3),(5 2),(0 2),(-1 -1),(0 12),(2 7),(2 8),(0 15),(4 6),(0 7),(0 10),(5 8),(5 13),0.256
,1,32,19,183,(1 0),(0 0),(1 3),(5 2),(1 2),(-1 -1),(0 16),(0 7),(2 10),(2 12),(0 6),(4 10),(1 8),(0 8),(1 10),0.261
,1,31,18,180,(1 0),(0 0),(2 2),(1 2),(3 8),(-1 -1),(0 15),(0 8),(2 6),(0 11),(0 6),(4 6),(0 9),(5 9),(4 11),0.285
,1,30,18,178,(0 0),(4 0),(0 2),(5 2),(0 6),(-1 -1),(0 15),(3 8),(1 7),(1 11),(0 7),(3 6),(1 9),(0 8),(5 11),0.254
,1,32,19,183,(0 0),(5 0),(1 2),(0 2),(3 6),(0 15),(-1 -1),(0 8),(3 7),(0 11),(0 7),(1 6),(0 9),(5 8),(4 11),0.264
,0,69,20,158,(0 0),(4 0),(0 6),(4 9),(3 14),(0 2),(0 17),(0 14),(4 5),(0 10),(5 9),(4 7),(0 15),(5 15),(5 10),0.32
,0,76,20,172,(1 0),(0 0),(0 15),(5 2),(0 19),(1 2),(0 6),(3 19),(4 11),(0 9),(5 7),(4 9),(0 13),(5 13),(4 15),0.27
,0,65,20,150,(0 0),(4 0),(0 2),(5 2),(3 9),(0 10),(0 6),(0 9),(0 18),(2 16),(5 7),(0 16),(0 14),(5 10),(4 10),0.287
,1,30,18,178,(0 0),(5 0),(-1 -1),(0 2),(3 6),(1 2),(0 15),(0 8),(3 7),(0 11),(0 7),(1 6),(0 9),(5 8),(4 11),0.255
,0,65,20,150,(0 0),(5 0),(0 12),(0 2),(0 9),(1 2),(1 6),(3 9),(4 16),(0 16),(0 7),(4 18),(0 10),(5 10),(4 12),0.255
,0,65,20,150,(0 0),(4 0),(0 2),(5 2),(3 9),(0 16),(0 6),(0 9),(4 16),(0 10),(5 7),(4 18),(0 14),(5 10),(4 10),0.313
,1,32,19,183,(2 0),(1 0),(-1 -1),(0 2),(2 2),(2 3),(0 16),(0 9),(1 10),(1 12),(1 6),(3 9),(0 7),(5 8),(0 10),0.283
,0,68,20,156,(0 0),(4 0),(0 2),(5 2),(3 13),(0 9),(0 6),(0 13),(4 11),(0 16),(5 7),(4 9),(0 14),(5 14),(4 16),0.355
,0,63,20,146,(0 0),(5 0),(1 2),(0 2),(0 9),(0 10),(1 6),(3 9),(4 10),(0 14),(0 7),(4 12),(0 18),(5 14),(4 14),0.331
,1,32,19,183,(0 0),(5 0),(1 2),(0 2),(1 6),(1 11),(-1 -1),(3 8),(1 7),(0 15),(0 7),(4 6),(1 9),(0 8),(5 11),0.278
,0,73,20,166,(0 0),(4 0),(0 2),(5 2),(0 15),(0 16),(0 6),(3 15),(4 18),(1 9),(5 7),(4 16),(1 13),(5 8),(0 10),0.322
,0,68,20,156,(0 0),(4 0),(0 2),(5 2),(3 13),(0 14),(0 6),(0 13),(4 9),(0 9),(5 7),(4 11),(0 18),(5 14),(4 14),0.291
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(0 9),(0 10),(0 6),(3 9),(4 10),(0 14),(5 7),(4 12),(0 18),(5 14),(4 14),0.29
,1,32,19,183,(0 0),(4 0),(0 2),(5 2),(2 7),(-1 -1),(0 16),(2 6),(1 10),(1 12),(5 7),(0 6),(0 8),(5 8),(0 10),0.402
,0,68,20,156,(0 0),(4 0),(0 2),(5 2),(0 13),(0 14),(0 6),(3 13),(4 9),(0 9),(5 7),(4 11),(0 18),(5 14),(4 14),0.344
,1,34,18,186,(0 0),(4 0),(0 2),(5 2),(2 7),(1 10),(-1 -1),(2 6),(0 14),(2 14),(5 7),(0 6),(0 8),(5 8),(0 10),0.263
,1,32,19,183,(0 0),(4 0),(-1 -1),(5 2),(2 6),(0 2),(0 16),(2 7),(1 10),(1 12),(5 7),(0 6),(0 8),(5 8),(0 10),0.281
,1,30,18,178,(0 0),(5 0),(-1 -1),(0 2),(3 6),(1 2),(0 15),(0 8),(1 6),(0 11),(0 7),(3 7),(0 9),(5 8),(4 11),0.294
,1,32,18,182,(1 0),(0 0),(1 2),(5 2),(3 8),(-1 -1),(0 15),(0 8),(3 6),(1 11),(0 6),(1 6),(1 9),(5 11),(0 10),0.276
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(3 9),(0 10),(0 6),(0 9),(4 10),(0 16),(5 7),(4 12),(0 14),(5 14),(4 16),0.328
,1,32,19,183,(1 0),(0 0),(1 2),(5 2),(2 6),(-1 -1),(0 16),(2 7),(1 10),(1 12),(5 7),(0 6),(0 8),(5 8),(0 10),0.278
,0,63,20,146,(1 0),(0 0),(0 10),(5 2),(0 9),(1 2),(0 6),(3 9),(4 12),(0 16),(5 7),(4 10),(0 14),(5 14),(4 16),0.271
,1,32,18,182,(0 0),(4 0),(-1 -1),(5 2),(0 6),(0 2),(0 15),(2 8),(0 7),(1 11),(2 7),(3 6),(1 9),(5 11),(0 10),0.276
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(3 6),(-1 -1),(0 15),(0 8),(3 7),(0 11),(0 7),(1 6),(0 9),(5 8),(4 11),0.267
,1,30,18,178,(0 0),(4 0),(0 2),(5 2),(3 8),(-1 -1),(0 15),(0 6),(1 7),(1 11),(0 7),(3 6),(1 9),(0 8),(5 11),0.26
,1,31,18,180,(0 0),(5 0),(-1 -1),(0 2),(3 8),(1 2),(0 15),(1 6),(4 6),(1 9),(0 7),(1 7),(0 13),(0 8),(5 10),0.293
,1,32,20,184,(2 0),(1 0),(0 16),(0 2),(2 2),(-1 -1),(0 13),(3 5),(1 5),(0 7),(3 6),(4 6),(0 11),(5 8),(5 13),0.253
,0,73,20,166,(0 0),(4 0),(1 9),(5 2),(0 15),(0 2),(0 6),(3 15),(0 18),(2 16),(5 7),(0 16),(1 13),(5 8),(0 10),0.321
,1,31,18,180,(0 0),(5 0),(-1 -1),(0 2),(3 6),(1 2),(0 15),(0 8),(3 7),(1 9),(0 7),(1 6),(1 13),(5 8),(0 10),0.296
,0,70,20,160,(0 0),(4 0),(1 10),(5 9),(3 14),(0 2),(0 15),(0 14),(4 5),(0 6),(4 9),(4 7),(0 18),(5 15),(0 10),0.25
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(0 9),(0 10),(0 6),(3 9),(4 10),(0 14),(5 7),(4 12),(0 18),(5 14),(4 14),0.283
,1,33,20,186,(0 0),(5 0),(-1 -1),(0 2),(1 2),(1 3),(1 13),(0 9),(3 9),(0 16),(5 6),(1 10),(0 7),(5 8),(0 10),0.261
,1,32,19,183,(1 0),(0 0),(-1 -1),(1 2),(2 2),(2 3),(0 14),(2 7),(2 8),(0 10),(0 6),(0 7),(0 17),(4 8),(5 10),0.256
,0,68,20,156,(1 0),(0 0),(1 2),(5 2),(0 13),(1 14),(0 6),(3 13),(4 11),(0 9),(5 7),(4 9),(1 18),(0 14),(5 14),0.298
