,1,8,10,126,(10 1),(4 0),(0 0),(6 0),(-1 -1),(6 1),(0 4),(3 5),(10 2),(8 2),(6 3),(10 5),(8 7),(8 8),0.296
,1,10,9,129,(9 0),(8 2),(0 0),(4 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(10 4),(5 5),(3 5),(6 7),(3 7),0.273
,1,9,10,128,(6 1),(0 0),(8 0),(2 0),(-1 -1),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 9),(0 7),0.262
,1,9,10,128,(0 0),(10 1),(-1 -1),(6 0),(2 0),(6 1),(4 4),(7 6),(6 2),(8 2),(0 3),(0 5),(0 7),(0 8),0.24
,1,13,10,136,(9 0),(10 4),(4 1),(4 0),(0 0),(8 1),(-1 -1),(3 5),(10 2),(8 5),(8 3),(0 5),(0 9),(0 7),0.291
,1,9,10,128,(0 0),(4 0),(-1 -1),(6 0),(6 1),(0 1),(4 5),(7 5),(10 2),(2 2),(0 3),(0 5),(0 7),(0 8),0.27
,1,8,10,126,(6 1),(0 0),(8 0),(2 0),(-1 -1),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),0.297
,0,32,10,74,(10 0),(0 0),(2 0),(0 9),(6 0),(8 8),(2 4),(5 4),(0 7),(10 2),(0 5),(10 6),(8 9),(5 8),0.264
,1,10,9,129,(9 0),(8 2),(0 0),(4 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(10 4),(5 5),(3 5),(3 7),(7 7),0.289
,1,8,10,126,(6 1),(0 0),(-1 -1),(2 0),(8 0),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),0.26
,1,10,10,130,(10 1),(0 0),(2 0),(6 0),(6 2),(6 1),(-1 -1),(7 6),(2 4),(10 2),(4 4),(0 5),(3 7),(0 7),0.3
,1,8,10,126,(4 1),(6 0),(-1 -1),(0 0),(8 0),(0 1),(9 4),(4 5),(0 2),(2 2),(4 3),(0 5),(0 7),(0 8),0.271
,1,8,10,126,(4 1),(10 0),(-1 -1),(0 0),(6 0),(0 1),(4 4),(7 5),(4 2),(2 2),(0 3),(0 5),(0 7),(0 8),0.278
,1,10,10,130,(9 0),(4 4),(-1 -1),(0 0),(5 0),(0 1),(9 1),(6 6),(0 2),(2 2),(6 4),(0 5),(0 7),(0 8),0.295
,1,9,10,128,(0 0),(4 0),(-1 -1),(6 0),(6 1),(0 1),(9 5),(4 5),(10 2),(0 2),(2 3),(2 5),(0 7),(0 8),0.253
,1,10,9,129,(9 0),(10 4),(0 0),(4 0),(4 1),(8 1),(0 4),(-1 -1),(10 2),(8 2),(5 5),(3 5),(3 7),(7 7),0.272
,1,10,10,130,(10 1),(4 0),(-1 -1),(6 0),(0 0),(6 1),(9 4),(4 6),(8 2),(6 2),(2 4),(0 5),(0 7),(0 8),0.258
,1,10,10,130,(4 0),(0 4),(-1 -1),(6 0),(0 0),(7 1),(4 1),(2 6),(7 2),(9 2),(2 4),(7 5),(7 7),(7 8),0.277
,1,10,10,130,(10 1),(0 0),(2 0),(6 0),(6 2),(6 1),(-1 -1),(7 6),(4 4),(10 2),(2 4),(0 5),(0 7),(4 7),0.353
,1,10,10,130,(4 0),(10 1),(0 0),(6 0),(8 6),(4 1),(-1 -1),(0 4),(4 2),(8 2),(6 3),(5 5),(0 8),(5 7),0.247
,1,10,10,130,(0 0),(7 2),(3 0),(7 0),(-1 -1),(7 1),(0 1),(0 6),(9 2),(9 4),(3 4),(5 5),(8 8),(5 7),0.277
