1,29,28,186,(6 0),(7 0),(8 0),(5 2),(1 7),(0 2),(8 5),(5 6),(10 6),(0 7),(-1 -1),(7 10),(5 12),(5 10),(6 12),(1 13),(3 13),(7 20),(0 15),(7 17),(3 22),(0 17),(1 18),(0 23),0.392
1,39,30,208,(3 0),(11 0),(0 0),(6 11),(-1 -1),(6 2),(2 5),(6 7),(0 5),(5 7),(1 18),(2 7),(11 8),(7 11),(11 17),(0 13),(9 13),(4 22),(5 15),(0 15),(5 16),(0 18),(9 19),(0 23),0.397
1,36,30,202,(9 0),(3 0),(0 0),(11 2),(8 23),(4 2),(0 6),(4 7),(9 5),(0 7),(-1 -1),(1 7),(11 8),(4 11),(7 12),(8 13),(5 13),(3 22),(8 15),(0 15),(8 17),(2 18),(0 18),(2 23),0.47
1,32,30,194,(3 0),(9 0),(0 0),(8 2),(4 2),(-1 -1),(0 5),(3 8),(10 5),(8 7),(1 18),(0 7),(9 8),(3 12),(0 18),(5 13),(10 13),(4 22),(5 15),(0 15),(5 16),(9 17),(10 19),(9 23),0.415
0,55,30,140,(4 0),(8 0),(5 0),(9 2),(0 2),(5 10),(4 5),(5 6),(10 5),(4 7),(1 18),(1 8),(0 8),(4 18),(4 20),(10 19),(10 13),(5 22),(6 15),(1 15),(6 16),(0 17),(10 21),(0 23),0.389
1,40,28,208,(4 0),(5 0),(1 0),(0 2),(6 2),(0 10),(1 5),(0 6),(10 5),(5 7),(0 15),(6 8),(9 8),(10 13),(3 15),(10 15),(10 17),(-1 -1),(6 18),(4 15),(6 22),(9 17),(4 18),(10 23),0.428
1,34,28,196,(5 0),(10 0),(6 0),(11 2),(0 7),(0 2),(0 13),(5 5),(10 6),(4 7),(-1 -1),(5 9),(9 11),(8 9),(8 12),(10 14),(10 16),(2 18),(5 16),(0 15),(7 22),(7 17),(0 18),(11 23),0.376
1,39,30,208,(5 0),(10 0),(6 0),(11 2),(1 7),(0 2),(5 9),(5 5),(10 6),(0 7),(-1 -1),(5 10),(9 9),(1 13),(8 12),(3 13),(10 14),(7 22),(0 15),(0 27),(1 16),(0 17),(5 18),(0 23),0.415
1,32,30,194,(3 0),(9 0),(0 0),(4 2),(5 2),(-1 -1),(0 5),(4 8),(10 5),(3 7),(2 18),(0 7),(9 8),(6 12),(11 19),(4 13),(10 13),(6 22),(5 15),(0 15),(5 16),(9 17),(0 18),(5 23),0.504
1,40,29,209,(2 0),(0 0),(3 0),(1 2),(5 23),(6 2),(0 6),(6 7),(4 5),(3 7),(6 11),(0 7),(11 8),(9 11),(11 17),(4 13),(9 13),(-1 -1),(0 15),(1 16),(1 19),(0 17),(9 19),(0 23),0.474
